,327260
2019-12-24,33800
2019-12-26,26800
2019-12-27,27650
2019-12-30,28050
2020-01-02,28200
2020-01-03,28800
2020-01-06,27100
2020-01-07,26300
2020-01-08,23050
2020-01-09,23600
2020-01-10,24700
2020-01-13,24250
2020-01-14,24150
2020-01-15,23300
2020-01-16,22500
2020-01-17,22200
2020-01-20,22200
2020-01-21,22750
2020-01-22,22300
2020-01-23,21100
2020-01-28,18950
2020-01-29,18800
2020-01-30,17900
2020-01-31,17500
2020-02-03,17050
2020-02-04,17900
2020-02-05,17300
2020-02-06,17200
2020-02-07,22350
2020-02-10,21900
2020-02-11,24000
2020-02-12,24600
2020-02-13,23250
2020-02-14,23850
2020-02-17,25000
2020-02-18,23550
2020-02-19,23200
2020-02-20,22400
2020-02-21,21250
2020-02-24,18800
2020-02-25,19600
2020-02-26,19750
2020-02-27,20850
2020-02-28,19200
2020-03-02,19150
2020-03-03,19800
2020-03-04,20450
2020-03-05,20600
2020-03-06,21250
2020-03-09,19700
2020-03-10,20250
2020-03-11,19400
2020-03-12,17300
2020-03-13,16350
2020-03-16,15300
2020-03-17,16400
2020-03-18,16800
2020-03-19,16900
2020-03-20,18450
2020-03-23,17550
2020-03-24,17950
2020-03-25,17750
2020-03-26,17500
2020-03-27,17600
2020-03-30,17750
2020-03-31,18550
2020-04-01,19500
2020-04-02,20600
2020-04-03,20500
2020-04-06,20900
2020-04-07,20850
2020-04-08,20450
2020-04-09,20650
2020-04-10,22300
2020-04-13,21050
2020-04-14,21200
2020-04-16,21800
2020-04-17,22600
2020-04-20,22000
2020-04-21,21600
2020-04-22,21500
2020-04-23,22000
2020-04-24,21150
2020-04-27,21500
2020-04-28,21300
2020-04-29,20950
2020-05-04,20700
2020-05-06,21000
2020-05-07,21100
2020-05-08,21150
2020-05-11,21050
2020-05-12,20850
2020-05-13,21100
2020-05-14,20800
2020-05-15,20700
2020-05-18,19800
2020-05-19,19900
2020-05-20,20000
2020-05-21,20150
2020-05-22,19400
2020-05-25,19000
2020-05-26,19450
2020-05-27,19450
2020-05-28,18700
2020-05-29,18800
2020-06-01,19000
2020-06-02,19050
2020-06-03,19100
2020-06-04,19250
2020-06-05,19300
2020-06-08,19250
2020-06-09,19000
2020-06-10,19200
2020-06-11,19050
2020-06-12,18400
2020-06-15,17200
2020-06-16,18300
2020-06-17,18950
2020-06-18,19450
2020-06-19,19150
2020-06-22,19350
2020-06-23,18800
2020-06-24,19800
2020-06-25,18950
2020-06-26,19100
2020-06-29,19250
2020-06-30,19600
2020-07-01,19000
2020-07-02,19000
2020-07-03,19300
2020-07-06,18900
2020-07-07,20500
2020-07-08,21500
2020-07-09,22650
2020-07-10,23450
2020-07-13,23000
2020-07-14,22000
2020-07-15,22200
2020-07-16,22700
2020-07-17,23950
2020-07-20,23150
2020-07-21,22450
2020-07-22,21800
2020-07-23,21000
2020-07-24,20150
2020-07-27,20250
2020-07-28,20400
