,116100
2013-07-01,2990
2013-07-02,3100
2013-07-03,2635
2013-07-04,2630
2013-07-05,2500
2013-07-08,2150
2013-07-09,2050
2013-07-10,2000
2013-07-11,2100
2013-07-12,2415
2013-07-15,2700
2013-07-16,3050
2013-07-17,2900
2013-07-18,2900
2013-07-19,2895
2013-07-22,2885
2013-07-23,2865
2013-07-24,2845
2013-07-25,2900
2013-07-26,2850
2013-07-29,2960
2013-07-30,2910
2013-07-31,2940
2013-08-01,2950
2013-08-02,2940
2013-08-05,2930
2013-08-06,2900
2013-08-07,2880
2013-08-08,2880
2013-08-09,2880
2013-08-12,2950
2013-08-13,2850
2013-08-14,2980
2013-08-16,2900
2013-08-19,2900
2013-08-20,2880
2013-08-21,2850
2013-08-22,2800
2013-08-23,2800
2013-08-26,2940
2013-08-27,2920
2013-08-28,2980
2013-08-29,2980
2013-08-30,2850
2013-09-02,2850
2013-09-03,2750
2013-09-04,2740
2013-09-05,2740
2013-09-06,2980
2013-09-09,2700
2013-09-10,2700
2013-09-11,2790
2013-09-12,2945
2013-09-13,2930
2013-09-16,2930
2013-09-17,2900
2013-09-23,2835
2013-09-24,2985
2013-09-25,2985
2013-09-26,2975
2013-09-27,2970
2013-09-30,2960
2013-10-01,2890
2013-10-02,2870
2013-10-04,2920
2013-10-07,2950
2013-10-08,2950
2013-10-10,3000
2013-10-11,3040
2013-10-14,3000
2013-10-15,3030
2013-10-16,3000
2013-10-17,3000
2013-10-18,2995
2013-10-21,3000
2013-10-22,3000
2013-10-23,2950
2013-10-24,3000
2013-10-25,2970
2013-10-28,2990
2013-10-29,3230
2013-10-30,3100
2013-10-31,3100
2013-11-01,3235
2013-11-04,3145
2013-11-05,3260
2013-11-06,3145
2013-11-07,3145
2013-11-08,3395
2013-11-11,3300
2013-11-12,3200
2013-11-13,3300
2013-11-14,3300
2013-11-15,3400
2013-11-18,3500
2013-11-19,3490
2013-11-20,3500
2013-11-21,3550
2013-11-22,3550
2013-11-25,3600
2013-11-26,3600
2013-11-27,3800
2013-11-28,3800
2013-11-29,3900
2013-12-02,4000
2013-12-03,4000
2013-12-04,4200
2013-12-05,4200
2013-12-06,4205
2013-12-09,4205
2013-12-10,4175
2013-12-11,4200
2013-12-12,4100
2013-12-13,4300
2013-12-16,4480
2013-12-17,4480
2013-12-18,4500
2013-12-19,4500
2013-12-20,4500
2013-12-23,4490
2013-12-24,4445
2013-12-26,4360
2013-12-27,4270
2013-12-30,4250
2014-01-02,4400
2014-01-03,4500
2014-01-06,4400
2014-01-07,4265
2014-01-08,4130
2014-01-09,4290
2014-01-10,4200
2014-01-13,4190
2014-01-14,4180
2014-01-15,4100
2014-01-16,4000
2014-01-17,4065
2014-01-20,4060
2014-01-21,4000
2014-01-22,4150
2014-01-23,4085
2014-01-24,4085
2014-01-27,4085
2014-01-28,4080
2014-01-29,4070
2014-02-03,4035
2014-02-04,4035
2014-02-05,4100
2014-02-06,4100
2014-02-07,4100
2014-02-10,4070
2014-02-11,4100
2014-02-12,4070
2014-02-13,4070
2014-02-14,4070
2014-02-17,4070
2014-02-18,4100
2014-02-19,4100
2014-02-20,4100
2014-02-21,4100
2014-02-24,4340
2014-02-25,4100
2014-02-26,4100
2014-02-27,4100
2014-02-28,4100
2014-03-03,4100
2014-03-04,4100
2014-03-05,4250
2014-03-06,4500
2014-03-07,4600
