,033640
2008-06-16,6290
2008-06-17,6271
2008-06-18,6328
2008-06-19,6168
2008-06-20,6168
2008-06-23,6215
2008-06-24,6225
2008-06-25,6122
2008-06-26,5587
2008-06-27,5455
2008-06-30,5137
2008-07-01,5109
2008-07-02,4846
2008-07-03,4753
2008-07-04,4753
2008-07-07,4621
2008-07-08,4213
2008-07-09,4289
2008-07-10,4303
2008-07-11,4500
2008-07-14,4566
2008-07-15,4340
2008-07-16,4340
2008-07-17,4387
2008-07-18,4363
2008-07-21,4481
2008-07-22,4500
2008-07-23,4650
2008-07-24,4772
2008-07-25,4612
2008-07-28,4584
2008-07-29,4401
2008-07-30,4424
2008-07-31,4340
2008-08-01,4265
2008-08-04,4200
2008-08-05,4087
2008-08-06,4247
2008-08-07,4228
2008-08-08,4237
2008-08-11,4022
2008-08-12,4041
2008-08-13,4002
2008-08-14,3975
2008-08-18,4031
2008-08-19,3965
2008-08-20,3933
2008-08-21,3787
2008-08-22,3581
2008-08-25,3585
2008-08-26,3576
2008-08-27,3796
2008-08-28,3693
2008-08-29,3703
2008-09-01,3215
2008-09-02,2803
2008-09-03,2920
2008-09-04,3094
2008-09-05,3004
2008-09-08,3347
2008-09-09,3384
2008-09-10,3313
2008-09-11,3393
2008-09-12,3529
2008-09-16,3094
2008-09-17,3244
2008-09-18,3107
2008-09-19,3408
2008-09-22,3374
2008-09-23,3497
2008-09-24,3501
2008-09-25,3553
2008-09-26,3553
2008-09-29,3520
2008-09-30,3520
2008-10-01,3487
2008-10-02,3431
2008-10-06,3117
2008-10-07,3103
2008-10-08,2807
2008-10-09,2812
2008-10-10,2554
2008-10-13,2630
2008-10-14,3018
2008-10-15,3107
2008-10-16,2653
2008-10-17,2738
2008-10-20,2798
2008-10-21,2798
2008-10-22,2807
2008-10-23,2522
2008-10-24,2147
2008-10-27,1828
2008-10-28,1964
2008-10-29,1828
2008-10-30,2100
2008-10-31,2226
2008-11-03,2437
2008-11-04,2578
2008-11-05,2719
2008-11-06,2311
2008-11-07,2343
2008-11-10,2301
2008-11-11,2301
2008-11-12,2372
2008-11-13,2236
2008-11-14,2324
2008-11-17,2321
2008-11-18,2156
2008-11-19,2090
2008-11-20,1781
2008-11-21,1912
2008-11-24,1894
2008-11-25,1950
2008-11-26,2058
2008-11-27,2174
2008-11-28,2194
2008-12-01,2432
2008-12-02,2259
2008-12-03,2269
2008-12-04,2250
2008-12-05,2231
2008-12-08,2424
2008-12-09,2376
2008-12-10,2424
2008-12-11,2512
2008-12-12,2409
2008-12-15,2447
2008-12-16,2447
2008-12-17,2432
2008-12-18,2466
2008-12-19,2517
2008-12-22,2648
2008-12-23,2522
2008-12-24,2437
2008-12-26,2390
2008-12-29,2343
2008-12-30,2372
2009-01-02,2437
2009-01-05,2559
2009-01-06,2583
2009-01-07,2620
2009-01-08,2587
2009-01-09,2638
2009-01-12,2625
2009-01-13,2587
2009-01-14,2784
2009-01-15,2489
2009-01-16,2695
2009-01-19,3098
2009-01-20,3145
2009-01-21,3018
2009-01-22,3253
2009-01-23,3047
2009-01-28,3234
2009-01-29,3253
2009-01-30,3309
2009-02-02,3374
2009-02-03,3403
2009-02-04,3600
2009-02-05,3421
2009-02-06,3627
2009-02-09,3572
2009-02-10,3590
2009-02-11,3656
2009-02-12,3778
2009-02-13,4044
2009-02-16,4242
2009-02-17,4152
2009-02-18,4772
2009-02-19,4706
2009-02-20,4218
2009-02-23,4780
2009-02-24,5137
2009-02-25,4640
2009-02-26,4434
2009-02-27,4453
2009-03-02,4485
2009-03-03,4640
2009-03-04,4687
2009-03-05,4471
2009-03-06,4780
2009-03-09,5493
2009-03-10,5052
2009-03-11,5072
2009-03-12,5259
2009-03-13,5597
2009-03-16,6093
2009-03-17,5906
2009-03-18,5999
2009-03-19,5558
2009-03-20,5624
2009-03-23,6252
2009-03-24,6178
2009-03-25,6647
2009-03-26,6758
2009-03-27,6890
2009-03-30,7331
2009-03-31,7781
2009-04-01,7705
2009-04-02,7958
2009-04-03,8156
2009-04-06,8249
2009-04-07,8296
2009-04-08,8165
2009-04-09,8718
2009-04-10,8858
2009-04-13,8774
2009-04-14,8999
2009-04-15,8868
2009-04-16,8268
2009-04-17,7921
2009-04-20,8512
2009-04-21,9608
2009-04-22,9562
2009-04-23,9290
2009-04-24,9093
2009-04-27,8681
2009-04-28,7697
2009-04-29,8615
2009-04-30,8578
2009-05-04,8483
2009-05-06,8765
2009-05-07,8924
2009-05-08,9562
