,214390
2015-06-29,34250
2015-06-30,32000
2015-07-01,33300
2015-07-02,33000
2015-07-03,34700
2015-07-06,35050
2015-07-07,32150
2015-07-08,30750
2015-07-09,29800
2015-07-10,28150
2015-07-13,26550
2015-07-14,26800
2015-07-15,26900
2015-07-16,28700
2015-07-17,27050
2015-07-20,26850
2015-07-21,27000
2015-07-22,26050
2015-07-23,25550
2015-07-24,25600
2015-07-27,24500
2015-07-28,23250
2015-07-29,19900
2015-07-30,18700
2015-07-31,20650
2015-08-03,19500
2015-08-04,19850
2015-08-05,20450
2015-08-06,20000
2015-08-07,19950
2015-08-10,20100
2015-08-11,20250
2015-08-12,19350
2015-08-13,19500
2015-08-17,19150
2015-08-18,17950
2015-08-19,16350
2015-08-20,16000
2015-08-21,15000
2015-08-24,14600
2015-08-25,15600
2015-08-26,16950
2015-08-27,17500
2015-08-28,18850
2015-08-31,18450
2015-09-01,17900
2015-09-02,17500
2015-09-03,17600
2015-09-04,17000
2015-09-07,17000
2015-09-08,16200
2015-09-09,17650
2015-09-10,17800
2015-09-11,17400
2015-09-14,17200
2015-09-15,17200
2015-09-16,17350
2015-09-17,17800
2015-09-18,19000
2015-09-21,18900
2015-09-22,18350
2015-09-23,18000
2015-09-24,18000
2015-09-25,17300
2015-09-30,14100
2015-10-01,14750
2015-10-02,14900
2015-10-05,14800
2015-10-06,14950
2015-10-07,15100
2015-10-08,15050
2015-10-12,14700
2015-10-13,14400
2015-10-14,14150
2015-10-15,14100
2015-10-16,14100
2015-10-19,14250
2015-10-20,14700
2015-10-21,14650
2015-10-22,14100
2015-10-23,14000
2015-10-26,14100
2015-10-27,14500
2015-10-28,14800
2015-10-29,14950
2015-10-30,14800
2015-11-02,14250
2015-11-03,14200
2015-11-04,14700
2015-11-05,15350
2015-11-06,15400
2015-11-09,15250
2015-11-10,14550
2015-11-11,14900
2015-11-12,15900
2015-11-13,16200
2015-11-16,16600
2015-11-17,16300
2015-11-18,15900
2015-11-19,16400
2015-11-20,15900
2015-11-23,15550
2015-11-24,15550
2015-11-25,16000
2015-11-26,15750
2015-11-27,16100
2015-11-30,15650
2015-12-01,15500
2015-12-02,15350
2015-12-03,15050
2015-12-04,14950
2015-12-07,14500
2015-12-08,14050
2015-12-09,13600
2015-12-10,13400
2015-12-11,13450
2015-12-14,12700
2015-12-15,13150
2015-12-16,13400
2015-12-17,13550
2015-12-18,13800
2015-12-21,13800
2015-12-22,13500
2015-12-23,13400
2015-12-24,13400
2015-12-28,13100
2015-12-29,13900
2015-12-30,14200
2016-01-04,14000
2016-01-05,14200
2016-01-06,16300
2016-01-07,16400
2016-01-08,16750
2016-01-11,16250
2016-01-12,15600
2016-01-13,15800
2016-01-14,15500
2016-01-15,15500
2016-01-18,15600
2016-01-19,16350
2016-01-20,17150
2016-01-21,17000
2016-01-22,16800
2016-01-25,17300
2016-01-26,17850
2016-01-27,17100
2016-01-28,16950
2016-01-29,17000
2016-02-01,16850
2016-02-02,16550
2016-02-03,15950
2016-02-04,16000
2016-02-05,15850
2016-02-11,14850
2016-02-12,13400
2016-02-15,13950
2016-02-16,14200
2016-02-17,13900
2016-02-18,14200
2016-02-19,14200
2016-02-22,14550
2016-02-23,14150
2016-02-24,14100
2016-02-25,14050
2016-02-26,14150
2016-02-29,14050
2016-03-02,14450
2016-03-03,15100
2016-03-04,15200
2016-03-07,15100
2016-03-08,14950
2016-03-09,15150
2016-03-10,15050
2016-03-11,14700
2016-03-14,14750
2016-03-15,14600
2016-03-16,14750
2016-03-17,14750
2016-03-18,14600
2016-03-21,14650
2016-03-22,14950
2016-03-23,15850
2016-03-24,16150
2016-03-25,16100
2016-03-28,15750
2016-03-29,15700
2016-03-30,16400
2016-03-31,16150
2016-04-01,16800
2016-04-04,17450
2016-04-05,17450
2016-04-06,17500
2016-04-07,16700
2016-04-08,17350
2016-04-11,17100
2016-04-12,16500
2016-04-14,16750
2016-04-15,16600
2016-04-18,16200
2016-04-19,16100
2016-04-20,16250
2016-04-21,15850
2016-04-22,16000
2016-04-25,16050
2016-04-26,16650
2016-04-27,16300
2016-04-28,16150
2016-04-29,15900
2016-05-02,14900
2016-05-03,14950
2016-05-04,14900
2016-05-09,14750
2016-05-10,15100
2016-05-11,15100
2016-05-12,15200
2016-05-13,15300
2016-05-16,15250
2016-05-17,15200
2016-05-18,14950
2016-05-19,15000
2016-05-20,15450
