,071050
2008-06-16,44250
2008-06-17,44450
2008-06-18,44900
2008-06-19,43550
2008-06-20,44700
2008-06-23,44400
2008-06-24,43500
2008-06-25,44000
2008-06-26,43050
2008-06-27,41800
2008-06-30,41850
2008-07-01,41700
2008-07-02,41100
2008-07-03,40950
2008-07-04,39850
2008-07-07,39450
2008-07-08,38600
2008-07-09,39450
2008-07-10,40300
2008-07-11,40750
2008-07-14,40600
2008-07-15,39500
2008-07-16,39900
2008-07-17,41200
2008-07-18,40150
2008-07-21,42750
2008-07-22,43550
2008-07-23,44500
2008-07-24,45600
2008-07-25,43700
2008-07-28,42000
2008-07-29,40900
2008-07-30,41450
2008-07-31,42350
2008-08-01,41750
2008-08-04,39800
2008-08-05,40150
2008-08-06,42000
2008-08-07,40850
2008-08-08,41150
2008-08-11,42900
2008-08-12,43000
2008-08-13,42300
2008-08-14,41500
2008-08-18,40350
2008-08-19,38800
2008-08-20,37500
2008-08-21,35300
2008-08-22,35300
2008-08-25,35000
2008-08-26,35200
2008-08-27,35600
2008-08-28,35150
2008-08-29,36000
2008-09-01,34850
2008-09-02,34500
2008-09-03,35150
2008-09-04,34100
2008-09-05,33300
2008-09-08,36200
2008-09-09,34200
2008-09-10,35700
2008-09-11,34000
2008-09-12,35550
2008-09-16,30500
2008-09-17,33500
2008-09-18,30500
2008-09-19,31050
2008-09-22,31700
2008-09-23,32100
2008-09-24,32700
2008-09-25,33950
2008-09-26,33100
2008-09-29,32100
2008-09-30,31500
2008-10-01,31000
2008-10-02,30400
2008-10-06,25850
2008-10-07,25000
2008-10-08,23200
2008-10-09,23550
2008-10-10,22400
2008-10-13,24000
2008-10-14,27600
2008-10-15,27600
2008-10-16,24750
2008-10-17,25450
2008-10-20,26950
2008-10-21,26900
2008-10-22,25000
2008-10-23,24000
2008-10-24,23000
2008-10-27,23200
2008-10-28,24400
2008-10-29,23000
2008-10-30,25800
2008-10-31,25700
2008-11-03,27550
2008-11-04,28400
2008-11-05,29800
2008-11-06,28400
2008-11-07,28200
2008-11-10,27550
2008-11-11,27400
2008-11-12,26800
2008-11-13,26700
2008-11-14,25250
2008-11-17,24800
2008-11-18,24000
2008-11-19,24200
2008-11-20,22700
2008-11-21,22400
2008-11-24,20600
2008-11-25,21800
2008-11-26,22750
2008-11-27,23450
2008-11-28,25000
