,002030
2008-06-16,65941
2008-06-17,65514
2008-06-18,65408
2008-06-19,62954
2008-06-20,64234
2008-06-23,63380
2008-06-24,63380
2008-06-25,63701
2008-06-26,65621
2008-06-27,65621
2008-06-30,65194
2008-07-01,67115
2008-07-02,65835
2008-07-03,66048
2008-07-04,64021
2008-07-07,63914
2008-07-08,62954
2008-07-09,61566
2008-07-10,64234
2008-07-11,61246
2008-07-14,61780
2008-07-15,61887
2008-07-16,61460
2008-07-17,61887
2008-07-18,60286
2008-07-21,61887
2008-07-22,60179
2008-07-23,60499
2008-07-24,61460
2008-07-25,62527
2008-07-28,65194
2008-07-29,61460
2008-07-30,62954
2008-07-31,63807
2008-08-01,63807
2008-08-04,61673
2008-08-05,62634
2008-08-06,63167
2008-08-07,62527
2008-08-08,62527
2008-08-11,62420
2008-08-12,61887
2008-08-13,61887
2008-08-14,61993
2008-08-18,62420
2008-08-19,61246
2008-08-20,61140
2008-08-21,61140
2008-08-22,59539
2008-08-25,59326
2008-08-26,60820
2008-08-27,61673
2008-08-28,60820
2008-08-29,61780
2008-09-01,60073
2008-09-02,57939
2008-09-03,57085
2008-09-04,55805
2008-09-05,55058
2008-09-08,54844
2008-09-09,54204
2008-09-10,54418
2008-09-11,54311
2008-09-12,56018
2008-09-16,53457
2008-09-17,53351
2008-09-18,53030
2008-09-19,52977
2008-09-22,52284
2008-09-23,51750
2008-09-24,52764
2008-09-25,53457
2008-09-26,53671
2008-09-29,54311
2008-09-30,53564
2008-10-01,54844
2008-10-02,56018
2008-10-06,53991
2008-10-07,53564
2008-10-08,48976
2008-10-09,48229
2008-10-10,43321
2008-10-13,44441
2008-10-14,46522
2008-10-15,47695
2008-10-16,43694
2008-10-17,47642
2008-10-20,48336
2008-10-21,49243
2008-10-22,45455
2008-10-23,41507
2008-10-24,35371
2008-10-27,34144
2008-10-28,34518
2008-10-29,30570
2008-10-30,34678
2008-10-31,36705
2008-11-03,38999
2008-11-04,44281
2008-11-05,46362
2008-11-06,43214
2008-11-07,46041
2008-11-10,45455
2008-11-11,46468
2008-11-12,46628
2008-11-13,43641
2008-11-14,42734
2008-11-17,41934
2008-11-18,37986
2008-11-19,36438
2008-11-20,36225
2008-11-21,37986
2008-11-24,35318
2008-11-25,36118
2008-11-26,37345
2008-11-27,40493
2008-11-28,41613
2008-12-01,41880
2008-12-02,40333
2008-12-03,40120
2008-12-04,39586
2008-12-05,37399
2008-12-08,41080
2008-12-09,41187
2008-12-10,42627
2008-12-11,40813
2008-12-12,41934
2008-12-15,44494
2008-12-16,45348
2008-12-17,44281
2008-12-18,44281
2008-12-19,43641
2008-12-22,43001
2008-12-23,43694
2008-12-24,42680
2008-12-26,40973
2008-12-29,41720
2008-12-30,42094
2009-01-02,42414
2009-01-05,42894
2009-01-06,43267
2009-01-07,44228
2009-01-08,43374
2009-01-09,43267
2009-01-12,42307
2009-01-13,42360
2009-01-14,43534
2009-01-15,42627
2009-01-16,42627
2009-01-19,41827
2009-01-20,41080
2009-01-21,39693
2009-01-22,40546
2009-01-23,40226
2009-01-28,40920
2009-01-29,41880
2009-01-30,43001
2009-02-02,42574
2009-02-03,42894
2009-02-04,43481
2009-02-05,45028
2009-02-06,45348
2009-02-09,45295
2009-02-10,44814
2009-02-11,44708
2009-02-12,43321
2009-02-13,43374
2009-02-16,43161
2009-02-17,41934
2009-02-18,41613
2009-02-19,40066
2009-02-20,38412
2009-02-23,39693
2009-02-24,38199
2009-02-25,38412
2009-02-26,39960
2009-02-27,39053
2009-03-02,37612
2009-03-03,38412
2009-03-04,39906
2009-03-05,40013
2009-03-06,40760
2009-03-09,40760
2009-03-10,41240
2009-03-11,42467
2009-03-12,43747
2009-03-13,44174
2009-03-16,42947
2009-03-17,45028
2009-03-18,44974
2009-03-19,44761
2009-03-20,44761
2009-03-23,44174
2009-03-24,44548
2009-03-25,44761
2009-03-26,44281
2009-03-27,44281
2009-03-30,42894
2009-03-31,43427
2009-04-01,43267
2009-04-02,44068
2009-04-03,43747
2009-04-06,44814
2009-04-07,45135
2009-04-08,43747
2009-04-09,44281
2009-04-10,45455
2009-04-13,48282
2009-04-14,48122
2009-04-15,47109
2009-04-16,46308
2009-04-17,44921
2009-04-20,45028
2009-04-21,44814
2009-04-22,44548
2009-04-23,44334
2009-04-24,44281
2009-04-27,44334
2009-04-28,43907
2009-04-29,44334
2009-04-30,47162
2009-05-04,48762
2009-05-06,48176
2009-05-07,48389
2009-05-08,48389
2009-05-11,48549
2009-05-12,49029
2009-05-13,51537
2009-05-14,50683
2009-05-15,50683
2009-05-18,53030
2009-05-19,51910
2009-05-20,53671
2009-05-21,52390
2009-05-22,51323
2009-05-25,53297
2009-05-26,52924
2009-05-27,51750
2009-05-28,50576
2009-05-29,49669
2009-06-01,51643
2009-06-02,50790
2009-06-03,49723
2009-06-04,48176
2009-06-05,48015
2009-06-08,48336
2009-06-09,47482
2009-06-10,48015
2009-06-11,48229
2009-06-12,48229
2009-06-15,50096
2009-06-16,50363
2009-06-17,49829
2009-06-18,48656
2009-06-19,48602
2009-06-22,48656
