,064760
2008-06-16,11300
2008-06-17,10700
2008-06-18,10750
2008-06-19,10750
2008-06-20,10900
2008-06-23,10800
2008-06-24,10700
2008-06-25,10900
2008-06-26,11100
2008-06-27,10700
2008-06-30,10050
2008-07-01,9560
2008-07-02,8410
2008-07-03,8240
2008-07-04,8130
2008-07-07,8800
2008-07-08,8050
2008-07-09,8060
2008-07-10,8500
2008-07-11,8600
2008-07-14,9000
2008-07-15,8520
2008-07-16,8560
2008-07-17,8890
2008-07-18,8670
2008-07-21,8840
2008-07-22,8550
2008-07-23,8600
2008-07-24,9360
2008-07-25,9300
2008-07-28,9200
2008-07-29,8870
2008-07-30,8840
2008-07-31,8850
2008-08-01,8660
2008-08-04,8200
2008-08-05,7950
2008-08-06,8030
2008-08-07,8090
2008-08-08,8060
2008-08-11,8120
2008-08-12,8030
2008-08-13,7980
2008-08-14,8090
2008-08-18,8810
2008-08-19,8810
2008-08-20,8810
2008-08-21,8110
2008-08-22,7970
2008-08-25,8080
2008-08-26,7930
2008-08-27,7600
2008-08-28,7900
2008-08-29,7830
2008-09-01,6810
2008-09-02,5900
2008-09-03,6100
2008-09-04,6260
2008-09-05,6040
2008-09-08,6670
2008-09-09,6520
2008-09-10,6540
2008-09-11,7520
2008-09-12,8640
2008-09-16,8410
2008-09-17,9100
2008-09-18,9060
2008-09-19,8650
2008-09-22,8450
2008-09-23,8750
2008-09-24,9020
2008-09-25,8980
2008-09-26,9040
2008-09-29,8600
2008-09-30,8480
2008-10-01,8260
2008-10-02,7740
2008-10-06,7130
2008-10-07,7090
2008-10-08,6340
2008-10-09,6380
2008-10-10,5900
2008-10-13,6780
2008-10-14,7350
2008-10-15,6990
2008-10-16,5950
2008-10-17,6080
2008-10-20,6270
2008-10-21,6000
2008-10-22,5870
2008-10-23,5020
2008-10-24,4270
2008-10-27,3760
2008-10-28,4015
2008-10-29,3740
2008-10-30,4300
2008-10-31,4510
2008-11-03,5180
2008-11-04,5950
2008-11-05,5900
2008-11-06,5020
2008-11-07,5770
2008-11-10,6130
2008-11-11,5920
2008-11-12,5760
2008-11-13,5260
2008-11-14,5670
2008-11-17,5600
2008-11-18,5390
2008-11-19,5100
2008-11-20,4370
2008-11-21,5020
2008-11-24,5210
2008-11-25,5260
2008-11-26,5500
2008-11-27,5670
2008-11-28,5630
2008-12-01,5800
2008-12-02,5650
2008-12-03,5740
2008-12-04,5420
2008-12-05,5400
2008-12-08,5710
2008-12-09,5670
2008-12-10,5860
2008-12-11,6000
2008-12-12,5640
2008-12-15,5990
2008-12-16,6200
2008-12-17,6070
2008-12-18,5880
2008-12-19,5930
2008-12-22,5900
2008-12-23,5630
2008-12-24,5450
2008-12-26,5450
2008-12-29,5300
2008-12-30,5600
2009-01-02,5750
2009-01-05,5850
2009-01-06,6060
2009-01-07,6010
2009-01-08,6020
2009-01-09,6150
2009-01-12,5990
2009-01-13,6150
2009-01-14,7070
2009-01-15,7500
2009-01-16,7510
2009-01-19,7630
2009-01-20,7310
2009-01-21,6800
2009-01-22,7120
2009-01-23,7170
2009-01-28,7490
2009-01-29,7850
2009-01-30,7750
2009-02-02,7730
2009-02-03,7970
2009-02-04,8400
2009-02-05,8030
2009-02-06,8070
2009-02-09,7900
2009-02-10,7660
2009-02-11,7700
2009-02-12,7680
2009-02-13,7970
2009-02-16,7850
2009-02-17,7140
2009-02-18,7050
2009-02-19,7550
2009-02-20,7050
2009-02-23,7430
