,060570
2008-06-16,4115
2008-06-17,3970
2008-06-18,3990
2008-06-19,3940
2008-06-20,4040
2008-06-23,4050
2008-06-24,3950
2008-06-25,3950
2008-06-26,3900
2008-06-27,3785
2008-06-30,3790
2008-07-01,3610
2008-07-02,3520
2008-07-03,3650
2008-07-04,3520
2008-07-07,3560
2008-07-08,3475
2008-07-09,3510
2008-07-10,3500
2008-07-11,3640
2008-07-14,3650
2008-07-15,3800
2008-07-16,3850
2008-07-17,3860
2008-07-18,3750
2008-07-21,3790
2008-07-22,3750
2008-07-23,3920
2008-07-24,3960
2008-07-25,3850
2008-07-28,3960
2008-07-29,4040
2008-07-30,4045
2008-07-31,3950
2008-08-01,3905
2008-08-04,3895
2008-08-05,3795
2008-08-06,3810
2008-08-07,3915
2008-08-08,3945
2008-08-11,3720
2008-08-12,3645
2008-08-13,3640
2008-08-14,3730
2008-08-18,3600
2008-08-19,3565
2008-08-20,3565
2008-08-21,3530
2008-08-22,3545
2008-08-25,3515
2008-08-26,3440
2008-08-27,3220
2008-08-28,3145
2008-08-29,3020
2008-09-01,2600
2008-09-02,2500
2008-09-03,2635
2008-09-04,2645
2008-09-05,2500
2008-09-08,2650
2008-09-09,2560
2008-09-10,2560
2008-09-11,2600
2008-09-12,2710
2008-09-16,2400
2008-09-17,2500
2008-09-18,2475
2008-09-19,2600
2008-09-22,2500
2008-09-23,2475
2008-09-24,2540
2008-09-25,2510
2008-09-26,2525
2008-09-29,2555
2008-09-30,2620
2008-10-01,2650
2008-10-02,2560
2008-10-06,2375
2008-10-07,2375
2008-10-08,2295
2008-10-09,2175
2008-10-10,1860
2008-10-13,1905
2008-10-14,2060
2008-10-15,2020
2008-10-16,1845
2008-10-17,1855
2008-10-20,2010
2008-10-21,2045
2008-10-22,1880
2008-10-23,1670
2008-10-24,1650
2008-10-27,1525
2008-10-28,1730
2008-10-29,1645
2008-10-30,1890
2008-10-31,1940
2008-11-03,2035
2008-11-04,2025
2008-11-05,2070
2008-11-06,1970
2008-11-07,2025
2008-11-10,2150
2008-11-11,2470
2008-11-12,2470
2008-11-13,2840
2008-11-14,3100
2008-11-17,3090
2008-11-18,3150
2008-11-19,2700
2008-11-20,2310
2008-11-21,2430
2008-11-24,2575
2008-11-25,2620
2008-11-26,2565
2008-11-27,2650
2008-11-28,2650
2008-12-01,2695
2008-12-02,2540
2008-12-03,2370
2008-12-04,2370
2008-12-05,2405
2008-12-08,2430
2008-12-09,2480
2008-12-10,2500
2008-12-11,2415
2008-12-12,2375
2008-12-15,2480
2008-12-16,2445
2008-12-17,2410
2008-12-18,2410
2008-12-19,2430
2008-12-22,2360
2008-12-23,2185
2008-12-24,2020
2008-12-26,2060
2008-12-29,2015
2008-12-30,2305
2009-01-02,2305
2009-01-05,2310
2009-01-06,2410
2009-01-07,2405
2009-01-08,2390
2009-01-09,2390
2009-01-12,2745
2009-01-13,2745
2009-01-14,2820
2009-01-15,2690
2009-01-16,2715
2009-01-19,2690
2009-01-20,2555
2009-01-21,2500
2009-01-22,2530
2009-01-23,2540
2009-01-28,2620
2009-01-29,2635
2009-01-30,2590
2009-02-02,2515
2009-02-03,2580
2009-02-04,2650
2009-02-05,2585
2009-02-06,2635
2009-02-09,2700
2009-02-10,2820
2009-02-11,2815
2009-02-12,2875
2009-02-13,3000
2009-02-16,2910
2009-02-17,2675
2009-02-18,2685
2009-02-19,2690
2009-02-20,2640
2009-02-23,2640
2009-02-24,2500
2009-02-25,2450
2009-02-26,2270
2009-02-27,2280
2009-03-02,2060
2009-03-03,2155
2009-03-04,2200
2009-03-05,2240
2009-03-06,2195
2009-03-09,2275
2009-03-10,2275
2009-03-11,2320
2009-03-12,2290
2009-03-13,2410
2009-03-16,2530
2009-03-17,2620
2009-03-18,2540
2009-03-19,2460
2009-03-20,2500
2009-03-23,2545
2009-03-24,2550
2009-03-25,2600
2009-03-26,2680
2009-03-27,2565
2009-03-30,2530
2009-03-31,2550
2009-04-01,2530
2009-04-02,2630
2009-04-03,2690
2009-04-06,2715
2009-04-07,2750
2009-04-08,2755
2009-04-09,2905
2009-04-10,2920
2009-04-13,3355
2009-04-14,3855
2009-04-15,4080
2009-04-16,3950
2009-04-17,4160
2009-04-20,4000
2009-04-21,4000
2009-04-22,4045
2009-04-23,3780
2009-04-24,4045
2009-04-27,4035
2009-04-28,3700
2009-04-29,3705
2009-04-30,4260
2009-05-04,4300
2009-05-06,4300
2009-05-07,4300
2009-05-08,4110
2009-05-11,4025
2009-05-12,4060
2009-05-13,4110
2009-05-14,3785
2009-05-15,3950
2009-05-18,3765
2009-05-19,3800
2009-05-20,3880
2009-05-21,3700
2009-05-22,3700
2009-05-25,4005
2009-05-26,4200
2009-05-27,4210
2009-05-28,3825
2009-05-29,3775
2009-06-01,3655
2009-06-02,3670
2009-06-03,3580
2009-06-04,3505
2009-06-05,3590
2009-06-08,3500
2009-06-09,3280
2009-06-10,3325
2009-06-11,3225
2009-06-12,3350
2009-06-15,3280
2009-06-16,3245
2009-06-17,3210
2009-06-18,3220
2009-06-19,3115
2009-06-22,3115
2009-06-23,2895
2009-06-24,2900
2009-06-25,3005
2009-06-26,3020
2009-06-29,3020
2009-06-30,3080
2009-07-01,3080
2009-07-02,3160
2009-07-03,3260
2009-07-06,3210
2009-07-07,3195
2009-07-08,3040
2009-07-09,3035
2009-07-10,2955
2009-07-13,2820
2009-07-14,2710
2009-07-15,2795
2009-07-16,2725
2009-07-17,2705
2009-07-20,2765
2009-07-21,2785
2009-07-22,2905
2009-07-23,2880
2009-07-24,2860
2009-07-27,2855
2009-07-28,2855
2009-07-29,2805
2009-07-30,2815
2009-07-31,2830
2009-08-03,2855
2009-08-04,2855
2009-08-05,3000
2009-08-06,2985
2009-08-07,3025
2009-08-10,2990
2009-08-11,2900
2009-08-12,2900
2009-08-13,2685
2009-08-14,2715
2009-08-17,2560
2009-08-18,2560
2009-08-19,2565
2009-08-20,2615
2009-08-21,2550
2009-08-24,2490
2009-08-25,2490
2009-08-26,2510
2009-08-27,2560
2009-08-28,2595
2009-08-31,2485
