,001630
2008-06-16,14720
2008-06-17,14474
2008-06-18,15423
2008-06-19,15036
2008-06-20,15247
2008-06-23,15107
2008-06-24,14615
2008-06-25,14545
2008-06-26,14228
2008-06-27,13631
2008-06-30,13596
2008-07-01,12999
2008-07-02,12788
2008-07-03,12858
2008-07-04,12823
2008-07-07,12893
2008-07-08,11312
2008-07-09,11348
2008-07-10,12015
2008-07-11,11980
2008-07-14,11875
2008-07-15,11664
2008-07-16,11769
2008-07-17,12015
2008-07-18,11945
2008-07-21,12577
2008-07-22,12718
2008-07-23,12999
2008-07-24,12928
2008-07-25,12437
2008-07-28,12823
2008-07-29,12683
2008-07-30,13104
2008-07-31,13350
2008-08-01,12753
2008-08-04,12402
2008-08-05,12472
2008-08-06,12437
2008-08-07,12647
2008-08-08,12683
2008-08-11,12612
2008-08-12,12226
2008-08-13,12226
2008-08-14,12191
2008-08-18,12226
2008-08-19,12050
2008-08-20,12191
2008-08-21,12542
2008-08-22,12331
2008-08-25,12366
2008-08-26,12366
2008-08-27,12683
2008-08-28,12472
2008-08-29,12999
2008-09-01,12577
2008-09-02,12156
2008-09-03,12296
2008-09-04,12085
2008-09-05,11664
2008-09-08,11980
2008-09-09,12015
2008-09-10,12788
2008-09-11,12226
2008-09-12,12928
2008-09-16,12366
2008-09-17,12999
2008-09-18,12823
2008-09-19,12964
2008-09-22,12928
2008-09-23,12964
2008-09-24,12788
2008-09-25,13350
2008-09-26,12928
2008-09-29,12788
2008-09-30,12788
2008-10-01,12718
2008-10-02,13104
2008-10-06,12507
2008-10-07,12893
2008-10-08,12120
2008-10-09,12156
2008-10-10,11699
2008-10-13,12296
2008-10-14,12507
2008-10-15,12261
2008-10-16,11453
2008-10-17,11664
2008-10-20,11699
2008-10-21,11453
2008-10-22,10680
2008-10-23,9275
2008-10-24,7905
2008-10-27,6886
2008-10-28,7448
2008-10-29,7343
2008-10-30,8432
2008-10-31,8888
2008-11-03,9240
2008-11-04,10118
2008-11-05,10750
2008-11-06,10118
2008-11-07,10750
2008-11-10,10188
2008-11-11,10294
2008-11-12,10364
2008-11-13,10048
2008-11-14,10013
2008-11-17,9977
2008-11-18,9731
2008-11-19,9275
2008-11-20,8432
2008-11-21,8642
2008-11-24,8783
2008-11-25,9169
2008-11-26,8994
2008-11-27,9029
2008-11-28,8994
2008-12-01,8853
2008-12-02,8256
2008-12-03,8010
2008-12-04,7870
2008-12-05,7940
2008-12-08,8572
2008-12-09,8432
2008-12-10,9064
2008-12-11,8959
2008-12-12,8818
2008-12-15,9415
2008-12-16,9205
2008-12-17,9275
2008-12-18,9415
2008-12-19,9486
2008-12-22,10048
2008-12-23,10540
2008-12-24,10399
2008-12-26,10645
2008-12-29,10785
2008-12-30,11207
2009-01-02,11102
2009-01-05,10680
2009-01-06,10610
2009-01-07,11031
2009-01-08,10926
2009-01-09,10785
2009-01-12,10469
2009-01-13,10610
2009-01-14,11312
2009-01-15,10645
2009-01-16,10891
2009-01-19,11207
2009-01-20,11207
2009-01-21,10750
2009-01-22,11242
2009-01-23,11242
2009-01-28,11804
2009-01-29,12296
2009-01-30,12156
2009-02-02,12366
2009-02-03,12296
2009-02-04,12050
2009-02-05,11804
2009-02-06,11734
2009-02-09,11945
2009-02-10,12015
2009-02-11,12437
2009-02-12,12647
2009-02-13,13139
2009-02-16,12893
2009-02-17,12893
2009-02-18,13561
2009-02-19,13350
2009-02-20,13315
2009-02-23,12577
2009-02-24,11980
2009-02-25,12331
2009-02-26,12718
2009-02-27,12718
2009-03-02,12015
2009-03-03,11593
2009-03-04,11734
2009-03-05,12296
2009-03-06,12437
2009-03-09,12647
2009-03-10,12366
2009-03-11,12858
2009-03-12,12788
2009-03-13,13104
2009-03-16,12612
2009-03-17,12893
2009-03-18,13174
2009-03-19,13315
2009-03-20,13104
2009-03-23,13350
2009-03-24,13104
2009-03-25,12928
2009-03-26,12999
2009-03-27,12964
2009-03-30,12402
2009-03-31,12647
2009-04-01,12858
2009-04-02,12823
2009-04-03,12788
2009-04-06,12753
2009-04-07,12858
2009-04-08,12999
2009-04-09,13280
2009-04-10,13877
2009-04-13,14439
2009-04-14,13772
2009-04-15,13245
2009-04-16,13526
2009-04-17,13315
2009-04-20,13596
2009-04-21,13420
2009-04-22,13455
2009-04-23,13842
2009-04-24,13631
2009-04-27,14755
2009-04-28,13631
2009-04-29,13772
2009-04-30,13526
2009-05-04,13772
2009-05-06,13772
2009-05-07,13385
2009-05-08,13491
2009-05-11,13455
2009-05-12,13420
2009-05-13,14018
2009-05-14,13701
2009-05-15,13701
2009-05-18,13455
2009-05-19,13245
2009-05-20,13350
2009-05-21,13069
2009-05-22,12647
2009-05-25,12191
2009-05-26,12507
2009-05-27,12085
2009-05-28,11980
2009-05-29,12261
2009-06-01,12226
2009-06-02,12226
2009-06-03,12437
2009-06-04,12261
2009-06-05,12366
2009-06-08,12402
2009-06-09,12191
2009-06-10,12120
2009-06-11,12191
2009-06-12,12612
2009-06-15,12085
2009-06-16,12261
2009-06-17,12296
2009-06-18,12226
2009-06-19,12999
2009-06-22,13245
2009-06-23,12647
2009-06-24,12753
2009-06-25,12858
2009-06-26,12999
2009-06-29,13210
2009-06-30,13280
2009-07-01,13420
2009-07-02,13631
2009-07-03,13877
2009-07-06,13877
2009-07-07,13561
2009-07-08,13455
2009-07-09,13491
2009-07-10,13631
2009-07-13,13315
2009-07-14,13350
2009-07-15,13877
2009-07-16,14263
2009-07-17,14228
2009-07-20,14299
2009-07-21,14439
2009-07-22,14193
2009-07-23,13947
2009-07-24,13982
2009-07-27,14228
2009-07-28,14158
2009-07-29,13912
2009-07-30,14053
2009-07-31,13701
2009-08-03,13701
2009-08-04,13561
2009-08-05,13737
2009-08-06,13666
2009-08-07,13420
2009-08-10,13526
2009-08-11,13526
2009-08-12,13280
2009-08-13,13210
2009-08-14,13420
2009-08-17,12964
2009-08-18,12964
2009-08-19,13210
2009-08-20,13561
2009-08-21,14720
2009-08-24,16898
2009-08-25,15317
2009-08-26,15036
2009-08-27,14580
2009-08-28,14720
2009-08-31,14158
