,009460
2008-06-16,2452
2008-06-17,2419
2008-06-18,2419
2008-06-19,2419
2008-06-20,2485
2008-06-23,2485
2008-06-24,2615
2008-06-25,2517
2008-06-26,2517
2008-06-27,2485
2008-06-30,2452
2008-07-01,2419
2008-07-02,2321
2008-07-03,2288
2008-07-04,2321
2008-07-07,2321
2008-07-08,2092
2008-07-09,2092
2008-07-10,2190
2008-07-11,2223
2008-07-14,2190
2008-07-15,2190
2008-07-16,2158
2008-07-17,2190
2008-07-18,2190
2008-07-21,2190
2008-07-22,2223
2008-07-23,2288
2008-07-24,2354
2008-07-25,2419
2008-07-28,2419
2008-07-29,2354
2008-07-30,2321
2008-07-31,2321
2008-08-01,2288
2008-08-04,2223
2008-08-05,2223
2008-08-06,2288
2008-08-07,2256
2008-08-08,2288
2008-08-11,2288
2008-08-12,2288
2008-08-13,2256
2008-08-14,2288
2008-08-18,2158
2008-08-19,2158
2008-08-20,2092
2008-08-21,2092
2008-08-22,2060
2008-08-25,2060
2008-08-26,2060
2008-08-27,2027
2008-08-28,1929
2008-08-29,1929
2008-09-01,1798
2008-09-02,1667
2008-09-03,1733
2008-09-04,1863
2008-09-05,1798
2008-09-08,1929
2008-09-09,1831
2008-09-10,1863
2008-09-11,1929
2008-09-12,1962
2008-09-16,1831
2008-09-17,1896
2008-09-18,1863
2008-09-19,1831
2008-09-22,1863
2008-09-23,1896
2008-09-24,1929
2008-09-25,1962
2008-09-26,1831
2008-09-29,1863
2008-09-30,1831
2008-10-01,1798
2008-10-02,1765
2008-10-06,1667
2008-10-07,1569
2008-10-08,1471
2008-10-09,1504
2008-10-10,1373
2008-10-13,1438
2008-10-14,1635
2008-10-15,1602
2008-10-16,1406
2008-10-17,1406
2008-10-20,1406
2008-10-21,1210
2008-10-22,1046
2008-10-23,915
2008-10-24,785
2008-10-27,687
2008-10-28,687
2008-10-29,752
2008-10-30,850
2008-10-31,817
2008-11-03,850
2008-11-04,948
2008-11-05,981
2008-11-06,850
2008-11-07,850
2008-11-10,915
2008-11-11,915
2008-11-12,883
2008-11-13,850
2008-11-14,817
2008-11-17,850
2008-11-18,785
2008-11-19,817
2008-11-20,719
2008-11-21,752
2008-11-24,687
2008-11-25,719
2008-11-26,719
2008-11-27,752
2008-11-28,752
2008-12-01,719
2008-12-02,719
2008-12-03,687
2008-12-04,687
2008-12-05,687
2008-12-08,719
2008-12-09,719
2008-12-10,752
2008-12-11,719
2008-12-12,752
2008-12-15,850
2008-12-16,817
2008-12-17,785
2008-12-18,785
2008-12-19,817
2008-12-22,817
2008-12-23,785
2008-12-24,883
2008-12-26,785
2008-12-29,785
2008-12-30,785
2009-01-02,850
2009-01-05,785
2009-01-06,850
2009-01-07,850
2009-01-08,817
2009-01-09,817
2009-01-12,817
2009-01-13,785
2009-01-14,817
2009-01-15,817
2009-01-16,817
2009-01-19,817
2009-01-20,817
2009-01-21,785
2009-01-22,817
2009-01-23,817
2009-01-28,817
2009-01-29,850
2009-01-30,817
2009-02-02,785
2009-02-03,850
2009-02-04,850
2009-02-05,850
2009-02-06,915
2009-02-09,883
2009-02-10,1013
2009-02-11,948
2009-02-12,1013
2009-02-13,981
2009-02-16,1112
2009-02-17,1275
2009-02-18,1242
2009-02-19,1406
2009-02-20,1242
2009-02-23,1079
2009-02-24,948
2009-02-25,1079
2009-02-26,1046
2009-02-27,1013
2009-03-02,915
2009-03-03,948
2009-03-04,883
2009-03-05,948
2009-03-06,915
2009-03-09,948
2009-03-10,915
2009-03-11,883
2009-03-12,915
2009-03-13,850
2009-03-16,883
2009-03-17,883
2009-03-18,883
2009-03-19,883
2009-03-20,915
2009-03-23,915
2009-03-24,948
2009-03-25,1079
2009-03-26,1112
2009-03-27,981
2009-03-30,915
2009-03-31,915
2009-04-01,915
2009-04-02,948
2009-04-03,915
2009-04-06,915
2009-04-07,948
2009-04-08,981
2009-04-09,948
2009-04-10,981
2009-04-13,948
2009-04-14,915
2009-04-15,948
2009-04-16,948
2009-04-17,915
2009-04-20,915
2009-04-21,915
2009-04-22,883
2009-04-23,850
2009-04-24,883
2009-04-27,850
2009-04-28,850
2009-04-29,850
2009-04-30,850
2009-05-04,850
2009-05-06,850
2009-05-07,850
2009-05-08,850
2009-05-11,850
2009-05-12,850
2009-05-13,850
2009-05-14,850
2009-05-15,850
2009-05-18,850
2009-05-19,850
2009-05-20,850
2009-05-21,850
2009-05-22,850
2009-05-25,850
2009-05-26,850
2009-05-27,850
2009-05-28,850
2009-05-29,850
2009-06-01,850
2009-06-02,725
2009-06-03,690
2009-06-04,720
2009-06-05,665
2009-06-08,760
2009-06-09,760
2009-06-10,750
2009-06-11,860
2009-06-12,985
2009-06-15,845
2009-06-16,790
2009-06-17,775
2009-06-18,805
2009-06-19,805
2009-06-22,925
2009-06-23,905
2009-06-24,815
2009-06-25,845
2009-06-26,840
2009-06-29,815
2009-06-30,810
2009-07-01,800
2009-07-02,805
2009-07-03,805
2009-07-06,810
2009-07-07,795
2009-07-08,790
2009-07-09,765
2009-07-10,750
2009-07-13,765
2009-07-14,780
2009-07-15,785
2009-07-16,780
2009-07-17,750
2009-07-20,760
2009-07-21,735
2009-07-22,730
2009-07-23,775
2009-07-24,755
2009-07-27,750
2009-07-28,750
2009-07-29,765
2009-07-30,780
2009-07-31,770
2009-08-03,805
2009-08-04,835
2009-08-05,860
2009-08-06,810
2009-08-07,790
2009-08-10,815
2009-08-11,800
2009-08-12,800
2009-08-13,810
2009-08-14,795
2009-08-17,780
2009-08-18,760
2009-08-19,775
2009-08-20,800
2009-08-21,780
2009-08-24,740
2009-08-25,745
2009-08-26,745
2009-08-27,735
2009-08-28,735
2009-08-31,750
2009-09-01,730
2009-09-02,730
2009-09-03,730
2009-09-04,720
2009-09-07,725
2009-09-08,725
2009-09-09,700
2009-09-10,680
2009-09-11,700
2009-09-14,710
2009-09-15,720
2009-09-16,700
2009-09-17,695
2009-09-18,695
2009-09-21,690
2009-09-22,660
2009-09-23,660
2009-09-24,655
2009-09-25,635
2009-09-28,635
