,001510
2008-06-16,2574
2008-06-17,2569
2008-06-18,2592
2008-06-19,2564
2008-06-20,2560
2008-06-23,2550
2008-06-24,2508
2008-06-25,2541
2008-06-26,2513
2008-06-27,2433
2008-06-30,2339
2008-07-01,2236
2008-07-02,1988
2008-07-03,1955
2008-07-04,1875
2008-07-07,1856
2008-07-08,1692
2008-07-09,1688
2008-07-10,1781
2008-07-11,1847
2008-07-14,1800
2008-07-15,1688
2008-07-16,1669
2008-07-17,1749
2008-07-18,1730
2008-07-21,1824
2008-07-22,1847
2008-07-23,1955
2008-07-24,1988
2008-07-25,1931
2008-07-28,1955
2008-07-29,1880
2008-07-30,1903
2008-07-31,1922
2008-08-01,1894
2008-08-04,1842
2008-08-05,1852
2008-08-06,1941
2008-08-07,1917
2008-08-08,1927
2008-08-11,1922
2008-08-12,1913
2008-08-13,1894
2008-08-14,1913
2008-08-18,1950
2008-08-19,1870
2008-08-20,1870
2008-08-21,1772
2008-08-22,1702
2008-08-25,1697
2008-08-26,1655
2008-08-27,1650
2008-08-28,1636
2008-08-29,1674
2008-09-01,1510
2008-09-02,1336
2008-09-03,1477
2008-09-04,1477
2008-09-05,1458
2008-09-08,1674
2008-09-09,1678
2008-09-10,1735
2008-09-11,1725
2008-09-12,1735
2008-09-16,1477
2008-09-17,1617
2008-09-18,1697
2008-09-19,1697
2008-09-22,1650
2008-09-23,1763
2008-09-24,1810
2008-09-25,1824
2008-09-26,1842
2008-09-29,1866
2008-09-30,1889
2008-10-01,1875
2008-10-02,1917
2008-10-06,1767
2008-10-07,1814
2008-10-08,1561
2008-10-09,1650
2008-10-10,1613
2008-10-13,1711
2008-10-14,1838
2008-10-15,1791
2008-10-16,1524
2008-10-17,1547
2008-10-20,1566
2008-10-21,1500
2008-10-22,1411
2008-10-23,1238
2008-10-24,1055
2008-10-27,905
2008-10-28,1036
2008-10-29,975
2008-10-30,1120
2008-10-31,1270
2008-11-03,1435
2008-11-04,1449
2008-11-05,1472
2008-11-06,1252
2008-11-07,1416
2008-11-10,1397
2008-11-11,1435
2008-11-12,1331
2008-11-13,1256
2008-11-14,1266
2008-11-17,1303
2008-11-18,1242
2008-11-19,1219
2008-11-20,1041
2008-11-21,1195
2008-11-24,1139
2008-11-25,1130
2008-11-26,1238
2008-11-27,1219
2008-11-28,1341
2008-12-01,1299
2008-12-02,1242
2008-12-03,1336
2008-12-04,1247
2008-12-05,1261
2008-12-08,1341
2008-12-09,1322
2008-12-10,1345
2008-12-11,1345
2008-12-12,1303
2008-12-15,1420
2008-12-16,1477
2008-12-17,1402
2008-12-18,1420
2008-12-19,1411
2008-12-22,1430
2008-12-23,1345
2008-12-24,1322
2008-12-26,1289
2008-12-29,1256
2008-12-30,1256
2009-01-02,1345
2009-01-05,1355
2009-01-06,1369
2009-01-07,1430
2009-01-08,1449
2009-01-09,1397
2009-01-12,1322
2009-01-13,1364
2009-01-14,1392
2009-01-15,1299
2009-01-16,1331
2009-01-19,1345
2009-01-20,1303
2009-01-21,1284
2009-01-22,1289
2009-01-23,1256
2009-01-28,1364
2009-01-29,1341
2009-01-30,1402
2009-02-02,1420
2009-02-03,1453
2009-02-04,1430
2009-02-05,1359
2009-02-06,1406
2009-02-09,1420
2009-02-10,1420
2009-02-11,1430
