,200780
2014-12-15,13405
2014-12-16,11724
2014-12-17,11648
2014-12-18,12450
2014-12-19,13252
2014-12-22,12717
2014-12-23,13328
2014-12-24,13672
2014-12-26,13328
2014-12-29,12870
2014-12-30,13557
2015-01-02,14321
2015-01-05,14207
2015-01-06,13176
2015-01-07,12908
2015-01-08,13443
2015-01-09,13214
2015-01-12,13367
2015-01-13,13596
2015-01-14,13596
2015-01-15,15276
2015-01-16,17071
2015-01-19,17224
2015-01-20,17262
2015-01-21,17568
2015-01-22,17415
2015-01-23,20012
2015-01-26,19973
2015-01-27,20470
2015-01-28,20088
2015-01-29,20699
2015-01-30,18866
2015-02-02,18484
2015-02-03,18560
2015-02-04,18445
2015-02-05,21196
2015-02-06,20775
2015-02-09,18942
2015-02-10,18713
2015-02-11,18636
2015-02-12,18026
2015-02-13,18790
2015-02-16,18255
2015-02-17,18331
2015-02-23,18752
2015-02-24,19745
2015-02-25,19745
2015-02-26,19706
2015-02-27,20661
2015-03-02,20775
2015-03-03,19973
2015-03-04,19782
2015-03-05,18942
2015-03-06,19171
2015-03-09,18484
2015-03-10,17873
2015-03-11,16918
2015-03-12,17949
2015-03-13,18064
2015-03-16,17415
2015-03-17,17376
2015-03-18,17301
2015-03-19,16498
2015-03-20,18102
2015-03-23,18331
2015-03-24,18522
2015-03-25,19095
2015-03-26,19019
2015-03-27,18905
2015-03-30,19019
2015-03-31,18981
2015-04-01,18636
2015-04-02,19324
2015-04-03,20164
2015-04-06,20012
2015-04-07,20432
2015-04-08,21196
2015-04-09,21196
2015-04-10,24327
2015-04-13,24365
2015-04-14,22341
2015-04-15,24365
2015-04-16,23372
2015-04-17,24290
2015-04-20,24059
2015-04-21,26313
2015-04-22,24900
2015-04-23,22761
2015-04-24,22608
2015-04-27,22990
2015-04-28,21768
2015-04-29,22189
2015-04-30,22226
2015-05-04,22265
2015-05-06,22265
2015-05-07,22990
2015-05-08,23830
2015-05-11,23678
2015-05-12,23410
2015-05-13,23983
2015-05-14,24518
2015-05-15,27115
2015-05-18,29025
2015-05-19,29750
2015-05-20,30246
2015-05-21,29903
2015-05-22,28795
2015-05-26,28718
2015-05-27,27878
2015-05-28,28757
2015-05-29,27344
2015-06-01,27993
2015-06-02,28222
2015-06-03,26504
2015-06-04,26885
2015-06-05,27153
2015-06-08,27115
2015-06-09,26618
2015-06-10,26810
2015-06-11,28948
2015-06-12,28795
2015-06-15,27497
2015-06-16,26351
2015-06-17,26657
2015-06-18,27688
2015-06-19,26657
2015-06-22,27344
2015-06-23,28414
2015-06-24,29597
2015-06-25,29559
2015-06-26,29330
2015-06-29,28490
2015-06-30,30858
2015-07-01,31659
2015-07-02,34219
2015-07-03,34906
2015-07-06,33607
2015-07-07,29025
2015-07-08,27802
2015-07-09,26848
2015-07-10,27574
2015-07-13,27878
2015-07-14,29750
2015-07-15,29406
2015-07-16,28910
2015-07-17,28261
2015-07-20,28566
2015-07-21,27802
2015-07-22,29559
2015-07-23,29788
2015-07-24,30285
2015-07-27,28566
2015-07-28,28031
2015-07-29,26734
2015-07-30,25397
2015-07-31,26734
2015-08-03,24633
2015-08-04,25817
2015-08-05,26657
2015-08-06,26734
2015-08-07,25740
2015-08-10,25358
2015-08-11,24059
2015-08-12,22532
2015-08-13,23029
2015-08-17,22379
2015-08-18,20889
2015-08-19,21004
2015-08-20,20508
2015-08-21,20623
2015-08-24,20699
2015-08-25,22226
2015-08-26,24097
2015-08-27,24097
2015-08-28,26962
2015-08-31,26580
2015-09-01,24976
2015-09-02,24480
2015-09-03,24976
2015-09-04,23754
2015-09-07,22761
2015-09-08,22379
2015-09-09,23678
2015-09-10,23525
2015-09-11,23716
2015-09-14,22990
2015-09-15,23945
2015-09-16,25053
2015-09-17,25701
2015-09-18,27650
2015-09-21,27917
2015-09-22,27535
2015-09-23,26541
2015-09-24,27077
2015-09-25,26198
2015-09-30,25053
2015-10-01,26313
2015-10-02,26580
2015-10-05,26351
2015-10-06,25817
2015-10-07,24976
2015-10-08,24823
2015-10-12,24136
2015-10-13,24174
2015-10-14,24021
2015-10-15,24404
2015-10-16,24290
