,124500
2013-07-01,18950
2013-07-02,18950
2013-07-03,17000
2013-07-04,14450
2013-07-05,13450
2013-07-08,13950
2013-07-09,14000
2013-07-10,14000
2013-07-11,15950
2013-07-12,15950
2013-07-15,15000
2013-07-16,12750
2013-07-17,11500
2013-07-18,11500
2013-07-19,12000
2013-07-22,12500
2013-07-23,12850
2013-07-24,12900
2013-07-25,12900
2013-07-26,12900
2013-07-29,12900
2013-07-30,12900
2013-07-31,13350
2013-08-01,15350
2013-08-02,15200
2013-08-05,16000
2013-08-06,16500
2013-08-07,17900
2013-08-08,19500
2013-08-09,20450
2013-08-12,20500
2013-08-13,20000
2013-08-14,19950
2013-08-16,17500
2013-08-19,17400
2013-08-20,20000
2013-08-21,17000
2013-08-22,15900
2013-08-23,15900
2013-08-26,16500
2013-08-27,18000
2013-08-28,19800
2013-08-29,20400
2013-08-30,21900
2013-09-02,20750
2013-09-03,18400
2013-09-04,20100
2013-09-05,18100
2013-09-06,17000
2013-09-09,19550
2013-09-10,20000
2013-09-11,19750
2013-09-12,17950
2013-09-13,19400
2013-09-16,16600
2013-09-17,17000
2013-09-23,16500
2013-09-24,16850
2013-09-25,16000
2013-09-26,16000
2013-09-27,15850
2013-09-30,16000
2013-10-01,15600
2013-10-02,16000
2013-10-04,15900
2013-10-07,15850
2013-10-08,15000
2013-10-10,14200
2013-10-11,14200
2013-10-14,14200
2013-10-15,14100
2013-10-16,15450
2013-10-17,14750
2013-10-18,14750
2013-10-21,14750
2013-10-22,15400
2013-10-23,15400
2013-10-24,15350
2013-10-25,15500
2013-10-28,14500
2013-10-29,16000
2013-10-30,15900
2013-10-31,15900
2013-11-01,15700
2013-11-04,15700
2013-11-05,14850
2013-11-06,14850
2013-11-07,14850
2013-11-08,15700
2013-11-11,15650
2013-11-12,15000
2013-11-13,14950
2013-11-14,14750
2013-11-15,14700
2013-11-18,14600
2013-11-19,14400
2013-11-20,13500
2013-11-21,13400
2013-11-22,12000
2013-11-25,12000
