,014130
2008-06-16,1255
2008-06-17,1335
2008-06-18,1325
2008-06-19,1345
2008-06-20,1335
2008-06-23,1255
2008-06-24,1260
2008-06-25,1230
2008-06-26,1225
2008-06-27,1175
2008-06-30,1150
2008-07-01,1170
2008-07-02,1085
2008-07-03,1075
2008-07-04,1055
2008-07-07,1065
2008-07-08,1005
2008-07-09,1030
2008-07-10,1050
2008-07-11,1060
2008-07-14,1070
2008-07-15,1035
2008-07-16,1045
2008-07-17,1085
2008-07-18,1075
2008-07-21,1130
2008-07-22,1125
2008-07-23,1115
2008-07-24,1145
2008-07-25,1130
2008-07-28,1180
2008-07-29,1175
2008-07-30,1160
2008-07-31,1175
2008-08-01,1190
2008-08-04,1160
2008-08-05,1155
2008-08-06,1230
2008-08-07,1285
2008-08-08,1330
2008-08-11,1290
2008-08-12,1310
2008-08-13,1300
2008-08-14,1280
2008-08-18,1290
2008-08-19,1285
2008-08-20,1260
2008-08-21,1215
2008-08-22,1160
2008-08-25,1180
2008-08-26,1180
2008-08-27,1175
2008-08-28,1175
2008-08-29,1165
2008-09-01,1055
2008-09-02,1010
2008-09-03,1045
2008-09-04,1060
2008-09-05,1040
2008-09-08,1090
2008-09-09,1090
2008-09-10,1085
2008-09-11,1095
2008-09-12,1140
2008-09-16,1045
2008-09-17,1060
2008-09-18,1000
2008-09-19,1035
2008-09-22,1040
2008-09-23,1045
2008-09-24,1075
2008-09-25,1090
2008-09-26,1090
2008-09-29,1100
2008-09-30,1090
2008-10-01,1060
2008-10-02,1090
2008-10-06,1085
2008-10-07,1070
2008-10-08,1010
2008-10-09,1005
2008-10-10,980
2008-10-13,990
2008-10-14,1020
2008-10-15,1015
2008-10-16,950
2008-10-17,916
2008-10-20,863
2008-10-21,850
2008-10-22,800
2008-10-23,680
2008-10-24,640
2008-10-27,595
2008-10-28,600
2008-10-29,630
2008-10-30,720
2008-10-31,730
2008-11-03,768
2008-11-04,740
2008-11-05,758
2008-11-06,681
2008-11-07,700
2008-11-10,805
2008-11-11,781
2008-11-12,776
2008-11-13,740
2008-11-14,629
2008-11-17,610
2008-11-18,590
2008-11-19,529
2008-11-20,450
2008-11-21,464
2008-11-24,457
2008-11-25,525
2008-11-26,525
2008-11-27,522
2008-11-28,520
2008-12-01,525
2008-12-02,527
2008-12-03,606
2008-12-04,535
2008-12-05,544
2008-12-08,580
2008-12-09,587
2008-12-10,579
2008-12-11,635
2008-12-12,613
2008-12-15,626
2008-12-16,626
2008-12-17,630
2008-12-18,667
2008-12-19,670
2008-12-22,660
2008-12-23,660
2008-12-24,638
2008-12-26,620
2008-12-29,619
2008-12-30,625
2009-01-02,632
2009-01-05,629
2009-01-06,638
2009-01-07,663
2009-01-08,674
2009-01-09,669
2009-01-12,645
2009-01-13,617
2009-01-14,634
2009-01-15,565
2009-01-16,578
2009-01-19,585
2009-01-20,576
2009-01-21,577
2009-01-22,582
2009-01-23,622
2009-01-28,609
2009-01-29,600
2009-01-30,598
2009-02-02,625
2009-02-03,625
2009-02-04,636
2009-02-05,642
2009-02-06,655
2009-02-09,659
2009-02-10,675
2009-02-11,701
2009-02-12,680
2009-02-13,701
2009-02-16,715
2009-02-17,694
2009-02-18,708
2009-02-19,690
2009-02-20,680
2009-02-23,700
2009-02-24,694
2009-02-25,709
2009-02-26,702
2009-02-27,688
2009-03-02,660
2009-03-03,660
2009-03-04,678
2009-03-05,680
2009-03-06,679
2009-03-09,675
2009-03-10,679
2009-03-11,675
2009-03-12,690
2009-03-13,695
2009-03-16,671
2009-03-17,686
2009-03-18,701
2009-03-19,712
2009-03-20,724
2009-03-23,717
2009-03-24,700
2009-03-25,715
2009-03-26,727
2009-03-27,752
2009-03-30,710
2009-03-31,711
2009-04-01,790
2009-04-02,805
2009-04-03,780
2009-04-06,786
2009-04-07,815
2009-04-08,816
2009-04-09,888
2009-04-10,889
2009-04-13,913
2009-04-14,904
2009-04-15,890
2009-04-16,890
2009-04-17,841
2009-04-20,850
2009-04-21,859
2009-04-22,887
2009-04-23,882
2009-04-24,900
2009-04-27,920
2009-04-28,905
2009-04-29,899
2009-04-30,905
2009-05-04,927
2009-05-06,910
2009-05-07,911
2009-05-08,911
