,200670
2014-12-26,28073
2014-12-29,29183
2014-12-30,30974
2015-01-02,33911
2015-01-05,32800
2015-01-06,31798
2015-01-07,32873
2015-01-08,33660
2015-01-09,34268
2015-01-12,34376
2015-01-13,34412
2015-01-14,37241
2015-01-15,41181
2015-01-16,40965
2015-01-19,47053
2015-01-20,51708
2015-01-21,55146
2015-01-22,58869
2015-01-23,67678
2015-01-26,65529
2015-01-27,67821
2015-01-28,66818
2015-01-29,59442
2015-01-30,58726
2015-02-02,61877
2015-02-03,65243
2015-02-04,65673
2015-02-05,65316
2015-02-06,65243
2015-02-09,62021
2015-02-10,63883
2015-02-11,61089
2015-02-12,55861
2015-02-13,59586
2015-02-16,53784
2015-02-17,54573
2015-02-23,50562
2015-02-24,51564
2015-02-25,52424
2015-02-26,52568
2015-02-27,51708
2015-03-02,54788
2015-03-03,54930
2015-03-04,54859
2015-03-05,63023
2015-03-06,62593
2015-03-09,59586
2015-03-10,56506
2015-03-11,56578
2015-03-12,57293
2015-03-13,58296
2015-03-16,58942
2015-03-17,58726
2015-03-18,57365
2015-03-19,56148
2015-03-20,59084
2015-03-23,58726
2015-03-24,57866
2015-03-25,56936
2015-03-26,54070
2015-03-27,54429
2015-03-30,55361
2015-03-31,54930
2015-04-01,55146
2015-04-02,53355
2015-04-03,52926
2015-04-06,52209
2015-04-07,55073
2015-04-08,53213
2015-04-09,56004
2015-04-10,56290
2015-04-13,57653
2015-04-14,58153
2015-04-15,60158
2015-04-16,60158
2015-04-17,66962
2015-04-20,76630
2015-04-21,78207
2015-04-22,76344
2015-04-23,70185
2015-04-24,72334
2015-04-27,71618
2015-04-28,66747
2015-04-29,66032
2015-04-30,61877
2015-05-04,60301
2015-05-06,62809
2015-05-07,62880
2015-05-08,63454
2015-05-11,70544
2015-05-12,66389
2015-05-13,63883
2015-05-14,63524
2015-05-15,64241
2015-05-18,70472
2015-05-19,72118
2015-05-20,72405
2015-05-21,70901
2015-05-22,66603
2015-05-26,65602
2015-05-27,65171
2015-05-28,65100
2015-05-29,68824
2015-06-01,69756
2015-06-02,64599
2015-06-03,63095
2015-06-04,63454
2015-06-05,63167
2015-06-08,61376
2015-06-09,59586
2015-06-10,61089
2015-06-11,63739
2015-06-12,63811
2015-06-15,65243
2015-06-16,67368
2015-06-17,69564
2015-06-18,70515
2015-06-19,81499
2015-06-22,81791
2015-06-23,82377
2015-06-24,84282
2015-06-25,87650
2015-06-26,84648
2015-06-29,78497
2015-06-30,78937
2015-07-01,81279
2015-07-02,81353
2015-07-03,80181
2015-07-06,77912
2015-07-07,73224
2015-07-08,71028
2015-07-09,71394
2015-07-10,70955
2015-07-13,73444
2015-07-14,75276
2015-07-15,75128
2015-07-16,74323
2015-07-17,72639
2015-07-20,75422
2015-07-21,75788
2015-07-22,73811
2015-07-23,75055
2015-07-24,73958
2015-07-27,73372
2015-07-28,76447
2015-07-29,74074
2015-07-30,68978
2015-07-31,70384
2015-08-03,65726
2015-08-04,66342
2015-08-05,69241
2015-08-06,77326
2015-08-07,74074
2015-08-10,71175
2015-08-11,69330
2015-08-12,63442
2015-08-13,64496
2015-08-17,61685
2015-08-18,58609
2015-08-19,52019
2015-08-20,54128
2015-08-21,54128
2015-08-24,52106
2015-08-25,55358
2015-08-26,59663
2015-08-27,59400
2015-08-28,59840
2015-08-31,58697
2015-09-01,56237
2015-09-02,56237
2015-09-03,55534
2015-09-04,51844
2015-09-07,51755
2015-09-08,50086
2015-09-09,53424
2015-09-10,54216
2015-09-11,54216
2015-09-14,53601
2015-09-15,53162
2015-09-16,55269
2015-09-17,55358
2015-09-18,58961
2015-09-21,57379
2015-09-22,57027
2015-09-23,53073
2015-09-24,54304
2015-09-25,54919
2015-09-30,53249
2015-10-01,53424
2015-10-02,53337
2015-10-05,56677
2015-10-06,56764
2015-10-07,53776
2015-10-08,53513
2015-10-12,52898
2015-10-13,52106
2015-10-14,51931
2015-10-15,53249
2015-10-16,54216
2015-10-19,54743
2015-10-20,55709
2015-10-21,54567
2015-10-22,53513
2015-10-23,53513
2015-10-26,55007
2015-10-27,55007
2015-10-28,59575
2015-10-29,60542
2015-10-30,58609
2015-11-02,56852
2015-11-03,57203
2015-11-04,58961
2015-11-05,62563
2015-11-06,63706
2015-11-09,59752
2015-11-10,61158
2015-11-11,61948
2015-11-12,64146
2015-11-13,64584
2015-11-16,60893
2015-11-17,61420
2015-11-18,61597
2015-11-19,62388
2015-11-20,64935
2015-11-23,64673
2015-11-24,64673
2015-11-25,62915
2015-11-26,61948
2015-11-27,62036
2015-11-30,62123
2015-12-01,61070
2015-12-02,59575
2015-12-03,59137
2015-12-04,59313
2015-12-07,57730
2015-12-08,52986
2015-12-09,53073
2015-12-10,54128
2015-12-11,51844
2015-12-14,47713
2015-12-15,49383
2015-12-16,49998
2015-12-17,50526
2015-12-18,52019
2015-12-21,51141
2015-12-22,50965
2015-12-23,49998
2015-12-24,50174
2015-12-28,49558
2015-12-29,54304
2015-12-30,54304
2016-01-04,52283
2016-01-05,53337
2016-01-06,54304
2016-01-07,53337
2016-01-08,54304
2016-01-11,53073
2016-01-12,52898
2016-01-13,54128
2016-01-14,54391
2016-01-15,56852
2016-01-18,56852
2016-01-19,59313
2016-01-20,59224
2016-01-21,57115
2016-01-22,56588
2016-01-25,60191
2016-01-26,61245
