,014160
2008-06-16,405
2008-06-17,400
2008-06-18,400
2008-06-19,405
2008-06-20,400
2008-06-23,400
2008-06-24,395
2008-06-25,395
2008-06-26,395
2008-06-27,390
2008-06-30,395
2008-07-01,385
2008-07-02,380
2008-07-03,370
2008-07-04,365
2008-07-07,370
2008-07-08,355
2008-07-09,355
2008-07-10,350
2008-07-11,360
2008-07-14,355
2008-07-15,350
2008-07-16,350
2008-07-17,360
2008-07-18,360
2008-07-21,365
2008-07-22,360
2008-07-23,375
2008-07-24,410
2008-07-25,400
2008-07-28,400
2008-07-29,380
2008-07-30,385
2008-07-31,380
2008-08-01,380
2008-08-04,380
2008-08-05,370
2008-08-06,390
2008-08-07,380
2008-08-08,380
2008-08-11,380
2008-08-12,380
2008-08-13,375
2008-08-14,375
2008-08-18,370
2008-08-19,375
2008-08-20,375
2008-08-21,370
2008-08-22,360
2008-08-25,365
2008-08-26,360
2008-08-27,350
2008-08-28,350
2008-08-29,355
2008-09-01,325
2008-09-02,310
2008-09-03,310
2008-09-04,325
2008-09-05,320
2008-09-08,330
2008-09-09,330
2008-09-10,330
2008-09-11,335
2008-09-12,340
2008-09-16,310
2008-09-17,320
2008-09-18,315
2008-09-19,320
2008-09-22,320
2008-09-23,325
2008-09-24,320
2008-09-25,325
2008-09-26,325
2008-09-29,330
2008-09-30,320
2008-10-01,320
2008-10-02,310
2008-10-06,295
2008-10-07,295
2008-10-08,275
2008-10-09,275
2008-10-10,255
2008-10-13,280
2008-10-14,290
2008-10-15,285
2008-10-16,245
2008-10-17,250
2008-10-20,250
2008-10-21,250
2008-10-22,245
2008-10-23,220
2008-10-24,190
2008-10-27,180
2008-10-28,180
2008-10-29,160
2008-10-30,180
2008-10-31,195
2008-11-03,205
2008-11-04,215
2008-11-05,240
2008-11-06,205
2008-11-07,235
2008-11-10,235
2008-11-11,235
2008-11-12,230
2008-11-13,210
2008-11-14,240
2008-11-17,275
2008-11-18,260
2008-11-19,280
2008-11-20,260
2008-11-21,250
2008-11-24,255
2008-11-25,250
2008-11-26,250
2008-11-27,240
2008-11-28,245
2008-12-01,235
2008-12-02,220
2008-12-03,215
2008-12-04,220
2008-12-05,225
2008-12-08,235
2008-12-09,230
2008-12-10,230
2008-12-11,235
2008-12-12,230
2008-12-15,245
2008-12-16,245
2008-12-17,250
2008-12-18,250
2008-12-19,250
2008-12-22,250
2008-12-23,245
2008-12-24,230
2008-12-26,235
2008-12-29,235
2008-12-30,235
2009-01-02,240
2009-01-05,245
2009-01-06,250
2009-01-07,255
2009-01-08,255
2009-01-09,280
2009-01-12,280
2009-01-13,285
2009-01-14,280
2009-01-15,255
2009-01-16,265
2009-01-19,265
2009-01-20,255
2009-01-21,250
2009-01-22,250
2009-01-23,255
2009-01-28,270
2009-01-29,265
2009-01-30,275
2009-02-02,285
2009-02-03,290
2009-02-04,290
2009-02-05,300
2009-02-06,280
2009-02-09,280
2009-02-10,280
2009-02-11,280
2009-02-12,300
2009-02-13,290
2009-02-16,295
2009-02-17,285
2009-02-18,285
2009-02-19,290
2009-02-20,265
2009-02-23,270
2009-02-24,255
2009-02-25,255
2009-02-26,255
2009-02-27,265
2009-03-02,265
2009-03-03,255
2009-03-04,270
2009-03-05,260
2009-03-06,255
2009-03-09,255
2009-03-10,265
2009-03-11,270
2009-03-12,270
2009-03-13,275
2009-03-16,280
2009-03-17,285
2009-03-18,285
2009-03-19,275
2009-03-20,280
2009-03-23,295
2009-03-24,295
2009-03-25,295
2009-03-26,290
2009-03-27,290
2009-03-30,285
2009-03-31,315
2009-04-01,320
2009-04-02,330
2009-04-03,320
2009-04-06,325
2009-04-07,330
2009-04-08,320
2009-04-09,365
2009-04-10,360
2009-04-13,365
2009-04-14,395
2009-04-15,410
2009-04-16,415
2009-04-17,385
2009-04-20,385
2009-04-21,405
2009-04-22,410
2009-04-23,420
2009-04-24,400
2009-04-27,390
2009-04-28,385
2009-04-29,390
2009-04-30,400
2009-05-04,410
2009-05-06,410
2009-05-07,420
2009-05-08,415
2009-05-11,415
2009-05-12,410
2009-05-13,425
2009-05-14,425
2009-05-15,440
2009-05-18,455
2009-05-19,455
2009-05-20,450
2009-05-21,430
2009-05-22,425
2009-05-25,410
2009-05-26,395
2009-05-27,390
2009-05-28,390
2009-05-29,380
2009-06-01,390
2009-06-02,395
2009-06-03,395
2009-06-04,380
2009-06-05,385
2009-06-08,380
2009-06-09,380
2009-06-10,385
2009-06-11,385
2009-06-12,390
2009-06-15,385
2009-06-16,385
2009-06-17,410
2009-06-18,400
2009-06-19,390
2009-06-22,400
2009-06-23,380
2009-06-24,375
2009-06-25,385
2009-06-26,375
2009-06-29,380
2009-06-30,385
2009-07-01,380
2009-07-02,390
2009-07-03,390
2009-07-06,395
2009-07-07,395
2009-07-08,390
2009-07-09,400
2009-07-10,415
2009-07-13,395
2009-07-14,395
2009-07-15,400
2009-07-16,395
2009-07-17,395
2009-07-20,400
2009-07-21,405
2009-07-22,410
2009-07-23,430
2009-07-24,420
2009-07-27,420
2009-07-28,415
2009-07-29,410
2009-07-30,420
2009-07-31,420
2009-08-03,420
2009-08-04,410
2009-08-05,420
2009-08-06,410
2009-08-07,415
2009-08-10,420
2009-08-11,430
2009-08-12,425
2009-08-13,435
2009-08-14,420
2009-08-17,405
2009-08-18,395
2009-08-19,400
2009-08-20,400
2009-08-21,400
2009-08-24,400
2009-08-25,395
2009-08-26,415
2009-08-27,415
