,069080
2008-06-16,12250
2008-06-17,12400
2008-06-18,11500
2008-06-19,11600
2008-06-20,11850
2008-06-23,13200
2008-06-24,12650
2008-06-25,12550
2008-06-26,11700
2008-06-27,11950
2008-06-30,11000
2008-07-01,10800
2008-07-02,10250
2008-07-03,10400
2008-07-04,10850
2008-07-07,11100
2008-07-08,10650
2008-07-09,10300
2008-07-10,10350
2008-07-11,10600
2008-07-14,10300
2008-07-15,9790
2008-07-16,9210
2008-07-17,9210
2008-07-18,9030
2008-07-21,9300
2008-07-22,9380
2008-07-23,9820
2008-07-24,9830
2008-07-25,9600
2008-07-28,9450
2008-07-29,9270
2008-07-30,9490
2008-07-31,9370
2008-08-01,9210
2008-08-04,9280
2008-08-05,9080
2008-08-06,10400
2008-08-07,11250
2008-08-08,10900
2008-08-11,10700
2008-08-12,10400
2008-08-13,10000
2008-08-14,10200
2008-08-18,9990
2008-08-19,9700
2008-08-20,9810
2008-08-21,9660
2008-08-22,9200
2008-08-25,9110
2008-08-26,9150
2008-08-27,9290
2008-08-28,9170
2008-08-29,9320
2008-09-01,8120
2008-09-02,8150
2008-09-03,9050
2008-09-04,8600
2008-09-05,8410
2008-09-08,8350
2008-09-09,8010
2008-09-10,7750
2008-09-11,7680
2008-09-12,8040
2008-09-16,6840
2008-09-17,7200
2008-09-18,6730
2008-09-19,6910
2008-09-22,6820
2008-09-23,6820
2008-09-24,6850
2008-09-25,6910
2008-09-26,6750
2008-09-29,6560
2008-09-30,6550
2008-10-01,6150
2008-10-02,6230
2008-10-06,5900
2008-10-07,5500
2008-10-08,4700
2008-10-09,4040
2008-10-10,4200
2008-10-13,4805
2008-10-14,5510
2008-10-15,5400
2008-10-16,4990
2008-10-17,5100
2008-10-20,5350
2008-10-21,5350
2008-10-22,5000
2008-10-23,4785
2008-10-24,4070
2008-10-27,3965
2008-10-28,4050
2008-10-29,4200
2008-10-30,4830
2008-10-31,4840
2008-11-03,4850
2008-11-04,5250
2008-11-05,5230
2008-11-06,4500
2008-11-07,4680
2008-11-10,4840
2008-11-11,4800
2008-11-12,4795
2008-11-13,4685
2008-11-14,4645
2008-11-17,4600
2008-11-18,4360
2008-11-19,4480
2008-11-20,4190
2008-11-21,4015
2008-11-24,4125
2008-11-25,4150
2008-11-26,4220
2008-11-27,4220
2008-11-28,4350
2008-12-01,4600
2008-12-02,4490
2008-12-03,4570
2008-12-04,4310
2008-12-05,4490
2008-12-08,4500
2008-12-09,4470
2008-12-10,4425
2008-12-11,4435
2008-12-12,4335
2008-12-15,4550
2008-12-16,4420
2008-12-17,4495
2008-12-18,5160
2008-12-19,5070
2008-12-22,5100
2008-12-23,5170
2008-12-24,4800
2008-12-26,4535
2008-12-29,4410
2008-12-30,4300
2009-01-02,4425
2009-01-05,4830
2009-01-06,4745
2009-01-07,4800
2009-01-08,5030
2009-01-09,5100
2009-01-12,4655
2009-01-13,4785
2009-01-14,4745
2009-01-15,4660
2009-01-16,5210
2009-01-19,5990
2009-01-20,6200
2009-01-21,7130
2009-01-22,7390
2009-01-23,7380
2009-01-28,7370
2009-01-29,7570
2009-01-30,7520
2009-02-02,7280
2009-02-03,7020
2009-02-04,7140
2009-02-05,6810
2009-02-06,6810
2009-02-09,7100
2009-02-10,7550
2009-02-11,7630
2009-02-12,7300
2009-02-13,7120
2009-02-16,8000
2009-02-17,8030
2009-02-18,7620
2009-02-19,7000
2009-02-20,6440
2009-02-23,6440
2009-02-24,6480
2009-02-25,6500
2009-02-26,6490
2009-02-27,6470
2009-03-02,6020
2009-03-03,5750
