,066970
2008-06-16,19341
2008-06-17,18365
2008-06-18,19303
2008-06-19,19068
2008-06-20,18834
2008-06-23,18599
2008-06-24,18834
2008-06-25,19068
2008-06-26,19068
2008-06-27,19068
2008-06-30,19303
2008-07-01,18169
2008-07-02,15474
2008-07-03,15864
2008-07-04,14692
2008-07-07,14536
2008-07-08,12738
2008-07-09,12503
2008-07-10,13910
2008-07-11,14418
2008-07-14,14458
2008-07-15,14067
2008-07-16,13715
2008-07-17,13832
2008-07-18,13598
2008-07-21,13402
2008-07-22,13286
2008-07-23,13481
2008-07-24,13442
2008-07-25,13324
2008-07-28,13246
2008-07-29,13246
2008-07-30,14575
2008-07-31,15004
2008-08-01,15043
2008-08-04,14847
2008-08-05,14536
2008-08-06,15395
2008-08-07,15395
2008-08-08,16177
2008-08-11,16489
2008-08-12,16099
2008-08-13,16880
2008-08-14,17975
2008-08-18,18325
2008-08-19,17857
2008-08-20,17895
2008-08-21,17661
2008-08-22,17583
2008-08-25,17154
2008-08-26,16411
2008-08-27,16842
2008-08-28,16411
2008-08-29,16489
2008-09-01,15161
2008-09-02,12894
2008-09-03,13208
2008-09-04,13910
2008-09-05,14028
2008-09-08,14223
2008-09-09,14223
2008-09-10,13988
2008-09-11,13988
2008-09-12,14692
2008-09-16,13050
2008-09-17,13520
2008-09-18,13479
2008-09-19,14851
2008-09-22,15578
2008-09-23,15659
2008-09-24,15820
2008-09-25,15578
2008-09-26,14851
2008-09-29,14529
2008-09-30,14489
2008-10-01,14932
2008-10-02,15335
2008-10-06,14932
2008-10-07,14851
2008-10-08,13479
2008-10-09,12915
2008-10-10,10977
2008-10-13,11704
2008-10-14,12915
2008-10-15,12228
2008-10-16,10493
2008-10-17,10977
2008-10-20,11098
2008-10-21,10897
2008-10-22,10210
2008-10-23,8717
2008-10-24,7426
2008-10-27,7167
2008-10-28,8193
2008-10-29,7991
2008-10-30,9161
2008-10-31,10534
2008-11-03,10775
2008-11-04,11219
2008-11-05,11462
2008-11-06,11866
2008-11-07,12390
2008-11-10,12672
2008-11-11,12793
2008-11-12,12592
2008-11-13,11905
2008-11-14,12107
2008-11-17,12915
2008-11-18,12834
2008-11-19,12632
2008-11-20,11623
2008-11-21,12107
2008-11-24,11663
2008-11-25,12147
2008-11-26,12470
2008-11-27,14085
2008-11-28,13801
2008-12-01,13882
2008-12-02,13520
2008-12-03,13479
2008-12-04,13277
2008-12-05,13157
2008-12-08,13640
2008-12-09,13640
2008-12-10,13560
2008-12-11,13560
2008-12-12,13318
2008-12-15,13318
2008-12-16,13439
2008-12-17,13681
2008-12-18,13640
2008-12-19,13560
2008-12-22,14609
2008-12-23,14892
2008-12-24,14529
2008-12-26,14205
2008-12-29,14085
2008-12-30,14367
2009-01-02,14529
2009-01-05,14246
2009-01-06,14448
2009-01-07,14569
2009-01-08,14166
2009-01-09,14125
2009-01-12,14044
2009-01-13,14932
2009-01-14,15739
2009-01-15,15335
2009-01-16,16224
2009-01-19,15981
2009-01-20,15780
2009-01-21,16102
2009-01-22,16102
2009-01-23,15376
2009-01-28,16022
2009-01-29,16547
2009-01-30,16547
2009-02-02,17354
2009-02-03,18282
2009-02-04,17797
2009-02-05,17273
2009-02-06,17999
2009-02-09,17758
2009-02-10,17838
2009-02-11,18564
2009-02-12,18564
2009-02-13,19371
2009-02-16,20259
2009-02-17,19371
2009-02-18,21349
2009-02-19,22318
2009-02-20,23004
2009-02-23,24133
2009-02-24,25102
2009-02-25,24053
2009-02-26,23004
2009-02-27,24255
2009-03-02,23488
2009-03-03,23811
2009-03-04,25344
2009-03-05,27120
2009-03-06,26998
2009-03-09,29057
2009-03-10,27282
2009-03-11,27766
2009-03-12,28815
2009-03-13,29097
2009-03-16,29460
2009-03-17,29057
2009-03-18,29138
2009-03-19,28815
2009-03-20,28532
2009-03-23,30147
2009-03-24,30025
2009-03-25,30671
2009-03-26,30590
2009-03-27,30671
2009-03-30,30510
2009-03-31,31478
2009-04-01,30671
2009-04-02,30066
2009-04-03,28896
2009-04-06,29744
2009-04-07,32245
2009-04-08,33133
2009-04-09,38098
2009-04-10,39147
2009-04-13,36483
2009-04-14,36483
2009-04-15,34546
2009-04-16,33497
2009-04-17,36039
2009-04-20,36321
2009-04-21,39550
2009-04-22,40357
2009-04-23,39833
2009-04-24,37855
2009-04-27,37855
2009-04-28,36079
2009-04-29,37410
2009-04-30,37936
2009-05-04,36564
2009-05-06,35756
2009-05-07,37936
2009-05-08,37694
2009-05-11,36321
2009-05-12,36321
2009-05-13,36564
2009-05-14,36685
2009-05-15,38420
2009-05-18,38743
2009-05-19,40680
2009-05-20,41891
2009-05-21,40357
2009-05-22,39712
2009-05-25,39066
2009-05-26,39953
2009-05-27,40357
2009-05-28,40518
2009-05-29,41891
2009-06-01,42779
2009-06-02,41971
2009-06-03,42213
2009-06-04,42133
2009-06-05,41164
2009-06-08,41648
2009-06-09,40357
2009-06-10,40357
2009-06-11,40034
2009-06-12,38985
2009-06-15,39106
2009-06-16,38098
2009-06-17,39106
2009-06-18,38501
2009-06-19,37694
2009-06-22,37774
2009-06-23,36564
2009-06-24,34304
2009-06-25,35514
2009-06-26,33497
2009-06-29,28492
2009-06-30,26636
2009-07-01,27645
2009-07-02,28654
2009-07-03,29501
2009-07-06,29016
2009-07-07,29582
2009-07-08,28412
2009-07-09,24174
2009-07-10,22318
2009-07-13,22761
2009-07-14,23851
2009-07-15,24982
2009-07-16,23528
2009-07-17,24618
2009-07-20,24658
2009-07-21,23004
2009-07-22,22035
2009-07-23,23811
2009-07-24,24417
2009-07-27,25021
2009-07-28,24375
2009-07-29,24698
2009-07-30,26998
2009-07-31,27847
2009-08-03,29703
2009-08-04,30025
2009-08-05,30025
2009-08-06,31358
2009-08-07,31802
2009-08-10,31478
2009-08-11,31398
2009-08-12,31398
2009-08-13,32689
2009-08-14,33497
2009-08-17,33336
2009-08-18,32891
2009-08-19,31842
2009-08-20,32447
2009-08-21,30752
2009-08-24,30510
2009-08-25,30510
2009-08-26,31963
2009-08-27,32326
2009-08-28,33336
2009-08-31,33093
2009-09-01,34062
2009-09-02,37129
2009-09-03,36967
2009-09-04,37209
2009-09-07,38178
2009-09-08,37169
