,순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
195,205,006120,SK디스커버리,"52,000",-100,-0.2,"1,634,073","85,914,614,850","53,500","55,700","49,950","989,968,460,000",0.05,"19,037,855",,,
196,206,000670,영풍,"534,000","5,000",1.0,"6,466","3,532,515,000","540,000","567,000","529,000","983,649,360,000",0.05,"1,842,040",,,
197,207,086900,메디톡스,"164,000","-7,000",-4.1,"271,055","44,280,064,000","168,000","168,200","159,500","980,301,636,000",0.05,"5,977,449",,,
198,208,214320,이노션,"48,800",-100,-0.2,"61,368","3,023,713,500","48,400","49,950","48,350","976,000,000,000",0.05,"20,000,000",,,
199,209,020560,아시아나항공,"4,295",735,20.6,"75,616,105","321,825,374,175","3,595","4,550","3,515","958,795,587,730",0.05,"223,235,294",,,
200,211,082270,젬백스,"24,200",-600,-2.4,"717,335","17,814,606,500","25,200","25,550","24,100","950,125,952,600",0.05,"39,261,403",,,
201,212,178920,PI첨단소재,"32,300",300,0.9,"707,910","22,890,570,200","32,500","32,950","31,750","948,532,200,600",0.05,"29,366,322",,,
202,213,278280,천보,"93,100","1,700",1.9,"93,929","8,755,802,200","92,400","94,300","92,300","931,000,000,000",0.05,"10,000,000",,,
203,214,066970,엘앤에프,"37,600","3,250",9.5,"1,850,258","69,166,966,000","35,650","38,700","35,600","930,928,210,400",0.05,"24,758,729",,,
204,215,175330,JB금융지주,"4,715",-25,-0.5,"219,866","1,041,712,885","4,745","4,775","4,710","928,774,345,210",0.05,"196,982,894",,,
205,216,046890,서울반도체,"15,900","1,100",7.4,"4,801,332","74,404,233,400","14,950","15,900","14,650","927,055,860,000",0.05,"58,305,400",,,
206,217,003230,삼양식품,"122,000","-2,000",-1.6,"54,672","6,707,662,000","124,500","125,000","121,500","919,027,830,000",0.05,"7,533,015",,,
207,218,120110,코오롱인더,"34,050",-500,-1.4,"214,548","7,381,544,350","34,550","34,900","34,000","918,629,502,000",0.05,"26,978,840",,,
208,219,218410,RFHIC,"38,350",-50,-0.1,"334,091","12,812,814,250","38,750","38,950","38,000","914,556,227,000",0.05,"23,847,620",,,
209,220,192820,코스맥스,"90,900",300,0.3,"61,835","5,648,546,400","90,700","92,300","90,700","913,500,368,100",0.05,"10,049,509",,,
210,221,214150,클래시스,"13,950",-100,-0.7,"219,176","3,036,701,100","14,100","14,200","13,750","902,692,893,600",0.05,"64,709,168",,,
211,222,001680,대상,"25,400",-250,-1.0,"265,523","6,790,101,750","25,650","25,950","25,300","880,059,835,000",0.05,"34,648,025",,,
212,223,092190,서울바이오시스,"23,000","1,550",7.2,"5,344,238","119,490,297,500","21,550","23,500","20,600","879,144,019,000",0.05,"38,223,653",,,
213,224,330590,롯데리츠,"5,100",-30,-0.6,"332,577","1,699,160,860","5,130","5,170","5,050","877,041,308,400",0.05,"171,968,884",,,
214,225,025980,아난티,"10,250",0,0.0,"3,284,133","33,997,006,450","10,300","10,550","10,150","869,746,417,250",0.05,"84,853,309",,,
215,226,215600,신라젠,"12,100",0,0.0,0,0,0,0,0,"866,567,212,500",0.05,"71,617,125",,,
216,227,139130,DGB금융지주,"5,110",0,0.0,"639,848","3,284,466,190","5,140","5,180","5,110","864,335,206,630",0.05,"169,145,833",,,
217,228,213420,덕산네오룩스,"35,800","1,600",4.7,"400,870","14,271,646,150","34,800","36,350","34,350","859,558,429,600",0.05,"24,010,012",,,
